ID,Title,Author,publishday,pages,Read,Genre,ISBN,Price,Language,Publisher,Rating,Tags
1,Verbotene Gipfel an der Grenze,Emilia Lang,1983-01-15,685,false,Krimi,850-673108-878-3,13.28,Spanisch,Buchhaus Wien,1.9,Familie;Zukunft;Liebe
2,Wege im Süden,Isabella Mayr,2015-03-30,394,true,Historisch,343-540208-603-0,58.49,Englisch,Wort & Welt,1.4,Technik;Politik
3,Ewige Flammen im Tal,Tobias Bauer,1995-05-06,216,false,Horror,176-720647-681-0,28.92,Englisch,Donau Press,2.2,Vergangenheit;Politik;Wissenschaft
4,Flammen am Markt,Emilia Huber,1968-03-09,219,false,Drama,211-262959-208-2,29.73,Französisch,Tradition & Technik,1.5,Vergangenheit;Mystery;Reise
5,Flammen am Markt #5,Isabella Bauer,1958-02-10,241,false,Sachbuch,946-838936-813-9,7.22,Französisch,AlpenBooks,1.4,Wissenschaft;Politik
6,Dunkle Kompass im Herbst,Maximilian Kral,1965-08-07,111,false,Science Fiction,669-884417-663-3,10.21,Deutsch,AlpenBooks,1.5,Vergangenheit
7,Geheime Spuren,Thomas Weber,1983-05-25,782,false,Lyrik,186-710610-700-4,55.46,Deutsch,Buchhaus Wien,5.0,Familie;Reise
8,Goldene Rätsel,Isabella Kral,2022-07-27,419,true,Science Fiction,151-276149-687-6,50.19,Spanisch,Salzburg Media,1.1,Abenteuer;Wissenschaft;Mystery;Vergangenheit
9,Karten im Winter,Markus Wagner,1953-02-09,708,false,Krimi,762-409440-610-6,53.55,Spanisch,Buchhaus Wien,1.4,Abenteuer;Politik;Mystery;Technik
10,Leise Chroniken,Anna Weber,2020-02-24,810,true,Historisch,900-608223-452-9,32.63,Spanisch,Wort & Welt,1.7,Freundschaft;Mystery;Liebe
11,Stimmen im Sommer,Sebastian Fischer,2018-10-18,678,false,Roman,202-359896-772-3,19.66,Deutsch,Donau Press,3.3,Wissenschaft;Abenteuer;Zukunft;Mystery
12,Versteckte Chroniken im Norden,Clara Lechner,1952-07-13,800,false,Drama,677-249005-676-3,51.02,Spanisch,Steiermark Stories,2.2,Liebe;Krieg;Vergangenheit;Mystery
13,Letzte Wege im Morgengrauen,Laura Müller,1979-10-06,1019,false,Roman,448-851763-281-5,8.28,Englisch,Villach Print,3.8,Vergangenheit;Krieg
14,Ewige Brücken im Norden,Matthias Wolf,1985-06-28,680,true,Sachbuch,430-243079-261-6,48.55,Spanisch,Zukunftsverlag,1.7,Mystery;Familie;Freundschaft
15,Feurige Uhren,Eva Berger,1976-06-03,210,true,Fantasy,818-700660-500-9,6.78,Italienisch,Zukunftsverlag,4.7,Familie;Freundschaft
